Date,Payee,Account #,Transaction Type,Description,Reference,Status,Amount,Currency,Balance
1/30/2026,BANNING SIZZLER #698,,Spend,Unknown,"Corporate Card - 4096 (Personal DayToDay)",SETTLED,-21.97,USD,267.28
1/29/2026,Cherry Valley Nursery And Landscape Supply,,Spend,Unknown,"Corporate Card - 4096 (Personal DayToDay)",SETTLED,-18.31,USD,289.25
1/29/2026,HIGHLAND SPRINGS CAR WA,,Spend,Unknown,"Corporate Card - 4096 (Personal DayToDay)",SETTLED,-17.00,USD,307.56
1/27/2026,Walgreens,,Spend,Unknown,"Corporate Card - 4096 (Personal DayToDay)",SETTLED,-8.61,USD,324.56
1/26/2026,SMG ONTARIO CONVENTION,,Spend,Unknown,"Corporate Card - 4096 (Personal DayToDay)",SETTLED,-10.88,USD,333.17
1/25/2026,ROAD TO CALIFORNIA,,Spend,Unknown,"Corporate Card - 4096 (Personal DayToDay)",SETTLED,-20.00,USD,344.05
1/24/2026,IN-N-OUT BEAUMONT,,Spend,Unknown,"Corporate Card - 4096 (Personal DayToDay)",SETTLED,-6.73,USD,364.05
1/24/2026,OCC Parking,,Spend,Unknown,"Corporate Card - 4096 (Personal DayToDay)",SETTLED,-15.00,USD,370.78
1/24/2026,EL AJI PERUANO,,Spend,Unknown,"Corporate Card - 4096 (Personal DayToDay)",SETTLED,-26.93,USD,385.78
1/23/2026,Hobby Lobby,,Spend,Unknown,"Corporate Card - 4096 (Personal DayToDay)",SETTLED,-3.22,USD,412.71
1/23/2026,ALDI,,Spend,Unknown,"Corporate Card - 4096 (Personal DayToDay)",SETTLED,-29.44,USD,415.93
1/20/2026,Walmart,,Spend,Unknown,"Corporate Card - 4096 (Personal DayToDay)",SETTLED,-86.29,USD,445.37
1/20/2026,Trader Joe's,,Spend,Unknown,"Corporate Card - 4096 (Personal DayToDay)",SETTLED,-21.85,USD,531.66
1/19/2026,Petco,,Spend,Unknown,"Corporate Card - 4096 (Personal DayToDay)",SETTLED,-46.85,USD,553.51
1/18/2026,Good China,,Spend,Unknown,"Corporate Card - 4096 (Personal DayToDay)",SETTLED,-20.06,USD,600.36
1/17/2026,The Home Depot,,Spend,Unknown,"Corporate Card - 4096 (Personal DayToDay)",SETTLED,-24.18,USD,620.42
1/16/2026,ATM Withdrawal,,Spend,,"Withdraw at CIRCLE K #27-K02 765 W REDLANDS BLVD  |  Address: REDLANDS, CA, US  |  **4096",SETTLED,-100.00,USD,644.60
1/15/2026,Psn OpExp - 8519 - 80,8519,Receive-transfer,,"Jan-Feb 2026 Daily Expenses",SETTLED,+700.00,USD,744.60
1/11/2026,Walmart,,Spend,Unknown,"Corporate Card - 4096 (Personal DayToDay)",SETTLED,-67.10,USD,44.60
1/11/2026,Psn Vault - 8499 - 20,8499,Receive-transfer,,"Transfer",SETTLED,+100.00,USD,111.70
1/11/2026,Albertsons,,Spend,Unknown,"Corporate Card - 4096 (Personal DayToDay)",SETTLED,-24.56,USD,11.70
1/10/2026,Walmart,,Spend,Unknown,"Corporate Card - 4096 (Personal DayToDay)",SETTLED,-90.90,USD,36.26
1/10/2026,Psn Vault - 8499 - 20,8499,Receive-transfer,,"Transfer",SETTLED,+50.00,USD,127.16
1/9/2026,PANERA BREAD #601945 P,,Spend,Unknown,"Corporate Card - 4096 (Personal DayToDay)",SETTLED,-13.87,USD,77.16
1/6/2026,Walmart,,Spend,Unknown,"Corporate Card - 4096 (Personal DayToDay)",SETTLED,-35.40,USD,91.03
1/6/2026,Psn Vault - 8499 - 20,8499,Receive-transfer,,"Transfer",SETTLED,+100.00,USD,126.43
1/3/2026,Albertsons,,Spend,Unknown,"Corporate Card - 4096 (Personal DayToDay)",SETTLED,-11.97,USD,26.43
